Code,Term,drugsubstancename,Observations,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId,2001_census_16_grouping,2001_census_6_grouping,medicine,Source
5711841000033112,Dorisin XL 80mg tablets (Aspire Pharma Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
8962441000033117,Nandovar XL 80mg tablets (Sandoz Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
634541000033110,Gemfibrozil 600mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
627841000033118,Gemfibrozil 300mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
838941000033115,Lopid 300mg capsules (Pfizer Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
851541000033119,Lopid 600mg tablets (Pfizer Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
13948041000033116,Icosapent 998mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
13948141000033117,Vazkepa 998mg capsules (Amarin Pharmaceuticals Ireland Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
13889441000033116,Inclisiran 284mg/1.5ml solution for injection pre-filled syringes,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
13889541000033115,Leqvio 284mg/1.5ml solution for injection pre-filled syringes (Novartis Pharmaceuticals UK Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
4805841000033118,Nicotinic acid 1g / Laropiprant 20mg modified-release tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
5244841000033110,Tredaptive 1000mg/20mg modified-release tablets (Organon Pharma (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
8886141000033119,Lomitapide 5mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
8886241000033114,Lomitapide 10mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2994141000033114,Nicotinic acid 1g modified-release tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2849841000033117,Nicotinic acid 500mg modified-release tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2994441000033118,Niaspan 1g modified-release tablets (Abbott Laboratories Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2994241000033119,Niaspan 500mg modified-release tablets (Abbott Laboratories Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
974841000033113,Nicotinic acid 50mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2994041000033110,Nicotinic acid 750mg modified-release tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2994341000033112,Niaspan 750mg modified-release tablets (Abbott Laboratories Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
13780441000033110,Solgar Niacin 500mg capsules (Solgar Vitamin and Herb),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
9069641000033116,Policosanol 10mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1136541000033116,Pravastatin 40mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1130241000033116,Pravastatin 20mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1130141000033111,Pravastatin 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
834841000033118,Lipostat 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
834941000033114,Lipostat 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
836541000033110,Lipostat 40mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
5711041000033117,Pravastatin 40mg/5ml oral suspension,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
10618641000033118,Pravastatin 5mg/5ml oral suspension,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
8493841000033111,Pravastatin 5mg/5ml oral solution,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2891541000033111,Rosuvastatin 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3836041000033114,Rosuvastatin 5mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2891641000033112,Rosuvastatin 20mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2891741000033115,Rosuvastatin 40mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2891841000033113,Crestor 10mg tablets (AstraZeneca UK Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3836141000033113,Crestor 5mg tablets (AstraZeneca UK Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2891941000033117,Crestor 20mg tablets (AstraZeneca UK Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2892041000033111,Crestor 40mg tablets (AstraZeneca UK Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
13860741000033115,Rosuvastatin 5mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
13860841000033113,Rosuvastatin 10mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
13860941000033117,Rosuvastatin 20mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
14079441000033111,Rosuvastatin 15mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
13861041000033110,Rosuvastatin 40mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
14079541000033112,Rosuvastatin 30mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1337541000033111,Simvastatin 40mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1336941000033119,Simvastatin 20mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1336841000033110,Simvastatin 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2066241000033118,Simvastatin 80mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2974141000033115,Simvador 40mg tablets (Dexcel-Pharma Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2974041000033119,Simvador 20mg tablets (Dexcel-Pharma Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1562841000033119,Zocor 10mg tablets (Organon Pharma (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1562941000033110,Zocor 20mg tablets (Organon Pharma (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2973941000033116,Simvador 10mg tablets (Dexcel-Pharma Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1562241000033118,Zocor 40mg tablets (Organon Pharma (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
5817841000033116,Simvastatin 40mg/5ml oral suspension sugar free,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
5817741000033114,Simvastatin 20mg/5ml oral suspension sugar free,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3304141000033110,Simvastatin 20mg/5ml oral suspension,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
4152341000033115,Simvastatin 40mg/5ml oral suspension,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
4941641000033116,Simvador 80mg tablets (Dexcel-Pharma Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2066341000033111,Zocor 80mg tablets (Organon Pharma (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
5888541000033119,Simvastatin 40mg/5ml oral solution,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3141041000033110,Ranzolont 40mg tablets (Ranbaxy (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3140941000033117,Ranzolont 20mg tablets (Ranbaxy (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
5888441000033115,Simvastatin 20mg/5ml oral solution,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3140841000033113,Ranzolont 10mg tablets (Ranbaxy (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3083141000033112,Bendroflumethiazide 2.5mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3038041000033111,Amlodipine 5mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3092341000033115,Furosemide 40mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3038141000033110,Amlodipine 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1769841000033111,Ramipril 10mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
91141000033119,Atenolol 50mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1151541000033112,Ramipril 5mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1951741000033119,Bisoprolol 2.5mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1151441000033111,Ramipril 2.5mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3092241000033113,Furosemide 20mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
151341000033117,Bisoprolol 5mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
90641000033116,Atenolol 25mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1951641000033111,Bisoprolol 1.25mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
838041000033116,Lisinopril 20mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1067941000033111,Perindopril erbumine 4mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
837841000033110,Lisinopril 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
851941000033113,Losartan 50mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
480841000033112,Doxazosin 4mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2720141000033115,Losartan 100mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
91041000033118,Atenolol 100mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
838141000033117,Lisinopril 5mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1151341000033117,Ramipril 1.25mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
768641000033118,Indapamide 2.5mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1135241000033113,Propranolol 40mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
211841000033117,Candesartan 8mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1374241000033118,Spironolactone 25mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1067841000033115,Perindopril erbumine 2mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
569141000033116,Felodipine 5mg modified-release tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2846741000033119,Perindopril erbumine 8mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
514741000033117,Bisoprolol 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
480741000033119,Doxazosin 2mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
172441000033118,Bumetanide 1mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
211541000033119,Candesartan 16mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1135041000033117,Propranolol 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
211741000033110,Candesartan 4mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
851841000033117,Losartan 25mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
765741000033116,Indapamide 1.5mg modified-release tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
825941000033112,Lercanidipine 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
569041000033115,Felodipine 10mg modified-release tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
376641000033112,Co-amilofruse 5mg/40mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
837941000033119,Lisinopril 2.5mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
522741000033118,Enalapril 20mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
1130041000033112,Propranolol 80mg modified-release capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
568041000033111,Felodipine 2.5mg modified-release tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3083241000033117,Bendroflumethiazide 5mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
522641000033110,Enalapril 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
480641000033111,Doxazosin 1mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
775441000033117,Irbesartan 150mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
